Signe,,,,,,,Informations,,,,,Validation,,,,,,Traitement vidéo,,,,,,
Domaine,Sous-domaine,Mot,N°ID,N° Signe,Définition,Explication,Date,Nom,Prénom,Origine,Version,Format,Clarté,Total,Remarques,,,Téléchargé,Monté,Miniature,YouTube,Site Web,Lien YouTube,
Santé,Affections,Réaction inflammatoire,56,1,non,non,16/12/2017,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,oui,https://youtu.be/oVQ8uAUOTew,
Physique,Nucléaire,Radioactif,57,1,non,non,16/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/oXBX7D51E2s,
Physique,Nucléaire,Radioactif,58,2,non,non,16/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/JzlS8eqQKEM,
Physique,Mécanique  ,Moment,59,1,non,non,16/12/2017,,,Séminaire,mp4,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/LmBi3A0lD2A,
Chimie,Générale,Adsorption,60,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/w2DRPmgT8gc,
Santé,Traitements,Antibiotique,61,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/ejtChCwOkTk,
Santé,Traitements,Antibiotique,62,2,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/-ZK0P-zeLIc,
Mathématiques,Algèbre,Espace vectoriel,63,1,non,non,13/05/2018,,,Séminaire,mp4,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/wwWzHRLxLGc,
Mathématiques,Algèbre,Sous-espace vectoriel,64,1,non,oui,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/kFPGuegz9TY,
Santé,Physiologie,Saturation en oxygène,65,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,oui,https://youtu.be/9P_DCSTP5DQ,
